_id,recorded_at,overall_score,role,difficulty,source,session_id,jdId,questionId,keywordRelevance,starMethodScore,vocabularyDiversity,coherenceScore,professionalTerminologyScore,overallContentScore,comp_technical,comp_clarity,comp_confidence,comp_conciseness,comp_engagement,jd_traceable,raw_additional,raw_comprehensive
6999f84c79b9c21ef1601713,2026-02-21 18:24:12.758000+00:00,34.0,,medium,practice,,,,50.0,0.0,100.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 20, 'feedback': ""The response is brief and lacks relevant details. It's essential to provide a clear and concise overview of your background, education, and relevant experiences to make a strong impression."", 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1771698252747.0}","{'overallScore': 34, 'categoryScores': {'content': 24, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
6999f8b379b9c21ef160171e,2026-02-21 18:25:55.906000+00:00,34.0,,medium,live,,,,50.0,0.0,91.7,50.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'live', 'persona': 'technical', 'teacherEvaluation': {'score': 20, 'feedback': 'The candidate attempted to answer the question but struggled to provide a clear and accurate response. They should focus on using the STAR method to structure their answer and ensure technical accuracy.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'mlMetrics': {'confidence': 40, 'clarity': 82, 'engagement': 25, 'overall': 23, 'audioLevel': 3, 'isSpeaking': False, 'feedback': 'Listening for your voice... Please speak clearly.'}, 'videoFeedback': {'faceDetectionRate': 0.9084125634495988, 'avgEyeContact': 0.7129831600543499, 'avgSmile': 0.2631349505818231, 'confidence': 0.8032292507081362, 'stressLevel': 0.2176006580963854, 'engagement': 0.5673198549734779, 'postureScore': 0.7242120547456148, 'gestureScore': 0.5381324000197955, 'movementStability': 0.7945527918045403, 'nervousness': 0.2825190784289522}, 'clientTimestamp': 1771698355900.0}","{'overallScore': 34, 'categoryScores': {'content': 28, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
6999f8dc79b9c21ef1601720,2026-02-21 18:26:36.105000+00:00,45.0,,medium,live,,,,50.0,0.0,100.0,50.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'live', 'persona': 'technical', 'teacherEvaluation': {'score': 40, 'feedback': 'The candidate needs to provide a clear and concise explanation of overfitting and a solution to mitigate it. This will demonstrate their understanding of the concept and their ability to apply it in practice.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'mlMetrics': {'confidence': 41, 'clarity': 100, 'engagement': 25, 'overall': 37, 'audioLevel': 15, 'isSpeaking': True, 'feedback': 'No face detected. Position yourself in front of camera.'}, 'videoFeedback': {'faceDetectionRate': 0.997567681350067, 'avgEyeContact': 0.690990738898004, 'avgSmile': 0.3519955670053613, 'confidence': 0.8032692325064058, 'stressLevel': 0.2786689468823619, 'engagement': 0.5839385099466754, 'postureScore': 0.7467761174525317, 'gestureScore': 0.575060058939988, 'movementStability': 0.8270754844204751, 'nervousness': 0.2802494305399431}, 'clientTimestamp': 1771698396101.0}","{'overallScore': 45, 'categoryScores': {'content': 21, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
6999f8fb79b9c21ef1601725,2026-02-21 18:27:07.834000+00:00,57.0,,medium,live,,,,50.0,0.0,100.0,50.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'live', 'persona': 'technical', 'teacherEvaluation': {'score': 60, 'feedback': 'The candidate should have provided a clear and concise explanation of the concept, including the technical details and advantages of gradient boosting in decision tree algorithms. They should also have used the STAR method to structure their response and provide specific examples.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'mlMetrics': {'confidence': 37, 'clarity': 100, 'engagement': 25, 'overall': 32, 'audioLevel': 4, 'isSpeaking': False, 'feedback': 'No face detected. Position yourself in front of camera.'}, 'videoFeedback': {'faceDetectionRate': 0, 'avgEyeContact': 0, 'avgSmile': 0, 'confidence': 0, 'stressLevel': 0, 'engagement': 0, 'postureScore': 0, 'gestureScore': 0, 'movementStability': 0, 'nervousness': 0}, 'clientTimestamp': 1771698427829.0}","{'overallScore': 57, 'categoryScores': {'content': 21, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a53aa498e7021b5d0caa0d,2026-03-02 07:22:12.851000+00:00,34.0,,medium,practice,,,,50.0,0.0,100.0,50.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 20, 'feedback': ""The response is very brief and lacks any meaningful information about the candidate's background or experience. A more detailed and structured response is expected for this type of question."", 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772436132840.0}","{'overallScore': 34, 'categoryScores': {'content': 22, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a546c9ed666ed9bed7fe01,2026-03-02 08:14:01.286000+00:00,46.0,,medium,practice,,,,50.0,0.0,100.0,50.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 40, 'feedback': 'The response is brief and lacks a clear structure. To improve, consider using the STAR method to provide specific examples from your background and experiences.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772439241260.0}","{'overallScore': 46, 'categoryScores': {'content': 28, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a546d7ed666ed9bed7fe0a,2026-03-02 08:14:15.798000+00:00,80.0,,medium,practice,,,,50.0,50.0,80.4,0.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 92, 'feedback': ""Overall, the response is well-structured and effectively communicates the candidate's professional strengths. However, consider providing more context on how these strengths were developed and acquired, and be mindful of technical terms that might be unfamiliar to non-experts."", 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772439255789.0}","{'overallScore': 80, 'categoryScores': {'content': 40, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': [], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a546e4ed666ed9bed7fe13,2026-03-02 08:14:28.195000+00:00,80.0,,medium,practice,,,,50.0,75.0,82.2,0.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 92, 'feedback': ""The candidate provides a strong response that effectively answers the question. They use the STAR method to structure their response, which makes it easy to follow and understand. The technical accuracy and knowledge of the project's technology stack are also impressive. However, there are a few areas for improvement, such as providing more context about the role and responsibilities in the project and breaking up long sentences for better clarity."", 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772439268180.0}","{'overallScore': 80, 'categoryScores': {'content': 44, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Well-structured response using professional storytelling methods', 'Good speaking pace and rhythm'], 'improvements': [], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a546f2ed666ed9bed7fe1c,2026-03-02 08:14:42.542000+00:00,74.0,,medium,practice,,,,50.0,25.0,97.0,50.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 85, 'feedback': 'The candidate provides a clear and concise answer, but could benefit from more depth and specifics about their career aspirations and plans for achieving them.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772439282530.0}","{'overallScore': 74, 'categoryScores': {'content': 32, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
69a54700ed666ed9bed7fe25,2026-03-02 08:14:56.908000+00:00,59.0,,medium,practice,,,,50.0,0.0,97.1,50.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,False,"{'source': 'practice', 'teacherEvaluation': {'score': 60, 'feedback': 'Consider expanding on your experiences and providing specific reasons why this company stands out to you. This will help demonstrate your genuine interest in the role and company.', 'competencies': None, 'status': None, 'followUpQuestion': None}, 'clientTimestamp': 1772439296895.0}","{'overallScore': 59, 'categoryScores': {'content': 30, 'delivery': 75, 'engagement': 70, 'professionalism': 80}, 'strengths': ['Good speaking pace and rhythm'], 'improvements': ['Structure responses using the STAR method (Situation, Task, Action, Result)'], 'recommendations': ['Practice recording yourself to improve self-awareness', 'Prepare structured examples using the STAR method', 'Research the company and role thoroughly before interviews'], 'nextSteps': ['Continue practicing interview responses with mock questions', 'Record mock interviews monthly to track progress'], 'feedback': '', 'status': 'unknown', 'followUp': '', 'competencies': {'technical': 0, 'clarity': 0, 'confidence': 0, 'conciseness': 0, 'engagement': 0}}"
